Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.022285 0.782067 0.017537 0.843918
1 0.013008 0.866875 0.015257 0.864663
2 0.010815 0.886554 0.014862 0.870240
3 0.009712 0.897452 0.015315 0.861130
4 0.009009 0.903542 0.015017 0.871995
5 0.008110 0.912163 0.014172 0.876082
6 0.007488 0.918045 0.016121 0.866635
7 0.007267 0.920369 0.015033 0.875000
8 0.006823 0.925192 0.015003 0.872596
9 0.006520 0.926538 0.015047 0.877308
10 0.006299 0.930064 0.014473 0.882260
11 0.005980 0.933013 0.014919 0.881442
12 0.005786 0.935545 0.015486 0.884663
13 0.005612 0.936987 0.015842 0.880144
14 0.005349 0.939792 0.015814 0.881779
15 0.005258 0.941074 0.016419 0.875024
16 0.005273 0.940689 0.015880 0.883053
17 0.004892 0.944054 0.016476 0.883341
18 0.004919 0.944391 0.016831 0.874760
19 0.004778 0.946074 0.015104 0.883702
20 0.003835 0.956362 0.016234 0.890337
21 0.003675 0.956939 0.016729 0.889231
22 0.003580 0.958462 0.016447 0.892957
23 0.003511 0.959022 0.017244 0.888005
24 0.003438 0.959792 0.016842 0.889135
25 0.003313 0.960881 0.017860 0.889760
26 0.003321 0.961394 0.018491 0.887236
27 0.003212 0.961939 0.017972 0.887236
28 0.003213 0.963077 0.017286 0.891058
29 0.003127 0.963590 0.018072 0.889255
30 0.003115 0.963349 0.018258 0.890192
31 0.003075 0.963029 0.018520 0.889231
32 0.003023 0.964439 0.018677 0.885048
33 0.002934 0.966026 0.018240 0.890264
34 0.003005 0.964087 0.019323 0.886635
35 0.002905 0.965946 0.019522 0.886947
36 0.002855 0.966587 0.018839 0.888005
37 0.002841 0.965913 0.018298 0.892404
38 0.002856 0.965913 0.017979 0.891034
39 0.002797 0.966522 0.018433 0.892500
40 0.002423 0.972067 0.018679 0.890553
41 0.002293 0.973365 0.018939 0.892163
42 0.002233 0.972596 0.018440 0.893966
43 0.002221 0.973718 0.018996 0.894663
44 0.002234 0.973381 0.018759 0.891202
45 0.002142 0.974375 0.019563 0.885361
46 0.002181 0.974696 0.019911 0.890577
47 0.002139 0.974615 0.019956 0.891010
48 0.002090 0.975481 0.019699 0.892428
49 0.002139 0.974375 0.019895 0.889567
50 0.002126 0.974679 0.020234 0.890841
51 0.002034 0.976026 0.020100 0.890409
52 0.001968 0.975994 0.020416 0.891635
53 0.002062 0.976122 0.019981 0.891226
54 0.002055 0.975561 0.020195 0.892740
55 0.001988 0.975609 0.020410 0.887813
56 0.001957 0.976442 0.019738 0.890312
57 0.002026 0.975833 0.020689 0.890000
58 0.001942 0.976795 0.021149 0.891250
59 0.001966 0.976715 0.021528 0.890865
60 0.001741 0.978638 0.020843 0.891803
61 0.001724 0.979087 0.021064 0.893822
62 0.001719 0.979151 0.020856 0.891899
63 0.001694 0.979343 0.020937 0.892764
64 0.001664 0.980481 0.021607 0.891226
65 0.001709 0.979311 0.020900 0.891226
66 0.001647 0.980304 0.021500 0.892188
67 0.001686 0.980160 0.021536 0.891106
68 0.001654 0.980112 0.021720 0.890721
69 0.001664 0.979487 0.022345 0.890361
70 0.001608 0.980160 0.021945 0.890793
71 0.001584 0.980321 0.022063 0.891298
72 0.001584 0.980849 0.022007 0.890120
73 0.001614 0.980721 0.021598 0.892284
74 0.001623 0.980753 0.022342 0.891563
75 0.001535 0.980673 0.022806 0.888173
76 0.001572 0.981106 0.022145 0.892043
77 0.001578 0.981186 0.022695 0.890385
78 0.001571 0.981026 0.023059 0.889784
79 0.001540 0.981955 0.022402 0.888269
80 0.001482 0.982564 0.022175 0.893774
81 0.001465 0.982676 0.022822 0.890673
82 0.001438 0.983269 0.022348 0.890817
83 0.001426 0.982692 0.022470 0.892692
84 0.001453 0.982532 0.022585 0.893510
85 0.001383 0.983269 0.022855 0.891466
86 0.001369 0.983029 0.023090 0.890144
87 0.001394 0.983045 0.023001 0.893389
88 0.001387 0.982997 0.023009 0.891490
89 0.001389 0.982628 0.022644 0.890913
90 0.001474 0.982788 0.023387 0.890889
91 0.001377 0.983317 0.022935 0.893293
92 0.001402 0.983189 0.022635 0.891923
93 0.001340 0.983910 0.022856 0.890361
94 0.001344 0.983654 0.023219 0.892139
95 0.001352 0.983446 0.022726 0.892404
96 0.001363 0.983718 0.023203 0.893101
97 0.001312 0.983734 0.023151 0.892404
98 0.001301 0.983734 0.022824 0.890962
99 0.001362 0.983638 0.022870 0.893918
